quarter_text,nuevas,reinversion,entre_cias,inversion,exportaciones,estado,cuenta,horas_prom,ittae,salario,medsup,hom_pc,rob_pc,secext_pc,_menos1sm
2008-3,49.252697,1.922545,34.800705,85.975945,5209.6479,Coahuila,2,42.900002,92.03717,212.34999,0.2233135,0.047249348,1.5854372,0,0.085000001
2008-3,6.5427833,,1.769065,8.2306051,23.413,Colima,6,43.299999,86.823364,198.07668,0.2511583,0.041111398,1.0894521,0,0.072999999
2008-3,8.9378576,0.350041,113.02907,122.31697,297.71201,Durango,2,44.299999,89.770943,170.52667,0.19727758,0.14038305,1.228505,0.012873556,0.101
2008-3,260.89572,3.965065,117.82178,382.68256,2454.7129,Estado de México,20,45.599998,87.53952,230.17334,0.21858792,0.040064613,1.7095782,0,0.101
2008-3,119.19878,0.57442099,-1.896113,117.87709,1618.213,Guanajuato,13,43,83.617874,189.72333,0.1467385,0.035621761,1.3991641,0.008630014,0.112
2008-3,11.818392,-0.25221199,443.54834,455.1145,56.291,Guerrero,10,42.700001,95.295288,195.82333,0.19774817,0.10043592,0.52522076,0.004135597,0.169
2008-3,8.4170208,-0.158953,2.388675,10.646743,606.42499,Hidalgo,1,41.900002,91.589272,194.93666,0.1639497,0.032558393,0.99360559,0.008043839,0.16700001
2008-3,133.912,32.730507,-12.667641,153.97487,4371.6509,Jalisco,12,41.599998,89.864273,221.90334,0.21742642,0.036244761,0.79738471,0.025454336,0.079000004
2008-3,14.774675,-1.5290641,2.7527511,15.998362,440.63699,Michoacán,6,39,91.282875,197.17667,0.15481748,0.11244646,1.1161694,0.02834204,0.13
2008-3,8.5591831,,1.592573,9.9125547,529.31097,Morelos,7,43.700001,92.129654,219.84334,0.22925231,0.11215077,1.9281962,0.049528513,0.107
2008-3,12.967336,2.3430431,-2.376004,12.934375,20.273001,Nayarit,10,40.799999,92.844971,182.61667,0.22303049,0.076286844,0.54436788,0,0.146
2008-3,320.58041,6.198442,44.350849,371.12973,5730.6899,Nuevo León,4,44.200001,90.609627,258.86002,0.20877299,0.033646185,2.1780443,0.002840262,0.063000001
2008-3,30.430119,-5.1057882,41.644566,66.968895,444.16501,Oaxaca,3,43,89.08345,186.01334,0.14695063,0.049364149,0.52646338,0.020480869,0.214
2008-3,53.769108,-1.733106,-6.5523062,45.483696,2462.427,Puebla,10,43,91.928932,208.64999,0.1523792,0.047278543,0.89672219,0,0.17799999
2008-3,52.586407,-7.8623171,99.341148,144.06523,1050.093,Querétaro,1,43.5,87.289894,254.46666,0.2279499,0.031932002,1.2111753,0.005602106,0.072999999
2008-3,51.931488,0.39561501,-3.792769,48.534336,7.651,Quintana Roo,0,45.5,86.936905,189.39999,0.27390096,0.13885283,3.5281244,0.020512351,0.077
2008-3,112.11797,-0.52702999,81.162369,192.75331,1173.843,San Luis Potosí,5,43,87.984726,208.62334,0.17405367,0.029688254,1.0008067,0.033594602,0.161
