quarter_text,estado,inversion,exportaciones,quarter,cuenta,horas_prom,ittae,salario,medsup,hom_pc,rob_pc,secext_pc,_menos1sm
2008-3,Estado de México,382.68256,2454.7129,2008q3,20,45.599998,87.53952,230.17334,0.21858792,0.040064613,1.7095782,0,0.101
2008-3,Guanajuato,117.87709,1618.213,2008q3,13,43,83.617874,189.72333,0.1467385,0.035621761,1.3991641,0.008630014,0.112
2008-3,Guerrero,455.1145,56.291,2008q3,10,42.700001,95.295288,195.82333,0.19774817,0.10043592,0.52522076,0.004135597,0.169
2008-3,Hidalgo,10.646743,606.42499,2008q3,1,41.900002,91.589272,194.93666,0.1639497,0.032558393,0.99360559,0.008043839,0.16700001
2008-3,Jalisco,153.97487,4371.6509,2008q3,12,41.599998,89.864273,221.90334,0.21742642,0.036244761,0.79738471,0.025454336,0.079000004
2008-3,Michoacán,15.998362,440.63699,2008q3,6,39,91.282875,197.17667,0.15481748,0.11244646,1.1161694,0.02834204,0.13
2008-3,Morelos,9.9125547,529.31097,2008q3,7,43.700001,92.129654,219.84334,0.22925231,0.11215077,1.9281962,0.049528513,0.107
2008-3,Nayarit,10.806921,20.273001,2008q3,10,40.799999,92.844971,182.61667,0.22303049,0.076286844,0.54436788,0,0.146
2008-3,Nuevo León,371.12973,5730.6899,2008q3,4,44.200001,90.609627,258.86002,0.20877299,0.033646185,2.1780443,0.002840262,0.063000001
2008-3,Oaxaca,66.968895,444.16501,2008q3,3,43,89.08345,186.01334,0.14695063,0.049364149,0.52646338,0.020480869,0.214
2008-3,Puebla,45.483696,2462.427,2008q3,10,43,91.928932,208.64999,0.1523792,0.047278543,0.89672219,0,0.17799999
2008-3,Querétaro,144.06523,1050.093,2008q3,1,43.5,87.289894,254.46666,0.2279499,0.031932002,1.2111753,0.005602106,0.072999999
2008-3,Quintana Roo,48.534336,7.651,2008q3,0,45.5,86.936905,189.39999,0.27390096,0.13885283,3.5281244,0.020512351,0.077
2008-3,San Luis Potosí,192.75331,1173.843,2008q3,5,43,87.984726,208.62334,0.17405367,0.029688254,1.0008067,0.033594602,0.161
2008-3,Sinaloa,23.962502,128.439,2008q3,3,41.599998,89.473564,176.50333,0.22962768,0.17016234,1.0636041,0.004298838,0.098000005
2008-3,Sonora,237.45784,3040.3191,2008q3,1,43.400002,85.286797,193.33,0.23522967,0.097793098,1.0150772,0.004169473,0.056999996
2008-3,Tabasco,14.432388,2895.1531,2008q3,0,45.299999,85.82621,199.42667,0.23708153,0.06029788,1.3755171,0.020401538,0.145
2008-3,Tamaulipas,285.19968,6386.5288,2008q3,2,42.799999,101.78094,211.73,0.25563896,0.065311775,1.821336,0.006777637,0.098000005
2008-3,Tlaxcala,33.097839,247.004,2008q3,2,41,95.246651,192.49667,0.20439652,0.089412439,0.47657697,0,0.168
2008-3,Veracruz,31.729971,1521.788,2008q3,1,45,88.873283,226.61667,0.18208115,0.036804282,0.49349398,0.008970219,0.15100001
2008-3,Yucatán,24.08429,294.66299,2008q3,6,41.200001,88.683571,180.74333,0.17618799,0.039908842,1.0853132,0,0.192
2008-3,Zacatecas,1292.7042,626.44202,2008q3,1,41.599998,90.260788,179.57333,0.1384279,0.033142955,1.0017288,0.005411094,0.11300001
2008-4,Aguascalientes,54.319454,1027.868,2008q4,8,45.799999,87.822655,204.91667,0.25590551,0.050758801,1.8273168,0.01290478,0.056999996
2008-4,Baja California,247.17288,8020.0542,2008q4,17,43.900002,94.764793,235.13333,0.24861558,0.12268817,5.3085,0.037062051,0.039999999
2008-4,Baja California Sur,122.49094,40.875,2008q4,0,42,90.616692,218.03,0.3065263,0.044018965,3.2345788,0.055431286,0.053000003
2008-4,Campeche,14.332727,4404.2158,2008q4,0,44.099998,93.683792,252.46333,0.23139332,0.042940832,0.16072141,0,0.168
2008-4,Chiapas,11.215538,141.53,2008q4,2,42.099998,95.665649,186.11333,0.16427311,0.047805028,0.31334214,0.002713823,0.324
2008-4,Chihuahua,906.64307,6011.5972,2008q4,5,43.299999,95.623238,214.97333,0.21617636,0.21519528,2.934244,0.027514874,0.040999997
